id,empreendimento,apartamento,bairro,torre,andar,area,quartos,vagas,suite,varanda_m2,cobertura,vista,orientacao,posicao,padrao_score,lazer_score,localizacao_score,fase_obra,meses_lancamento,desconto_pct,preco_m2,origem
"15","NOVO-01","0801","Centro-Sul","T1","8","109","3","2","2","9.4","0","parque","L","frente","5","5","5","pronto","25","6.4","36735","hibrida_calibrada"
"16","NOVO-01","0802","Centro-Sul","T1","8","158","4","3","2","12.9","0","rua","S","frente","5","5","5","pronto","13","4.5","32960","hibrida_calibrada"
"17","NOVO-01","0901","Centro-Sul","T1","9","134","4","2","2","13.6","0","parque","S","frente","5","5","5","pronto","3","2.5","40812","hibrida_calibrada"
"18","NOVO-01","0902","Centro-Sul","T1","9","123","3","2","2","9.7","0","rua","O","frente","5","5","5","pronto","9","2.4","31860","hibrida_calibrada"
"19","NOVO-01","1001","Centro-Sul","T1","10","120","3","2","2","6.8","0","parque","O","frente","5","5","5","pronto","19","3.6","46281","hibrida_calibrada"
"20","NOVO-01","1002","Centro-Sul","T1","10","168","4","3","2","17.5","0","rua","N","frente","5","5","5","pronto","18","4.2","33634","hibrida_calibrada"
"21","NOVO-01","1101","Centro-Sul","T1","11","121","3","2","2","18","0","rua","N","frente","5","5","5","pronto","22","4.7","38834","hibrida_calibrada"
"22","NOVO-01","1102","Centro-Sul","T1","11","102","3","1","1","14.8","0","parque","L","frente","5","5","5","pronto","16","3","36021","hibrida_calibrada"
"23","NOVO-01","1201","Centro-Sul","T1","12","130","4","2","2","11","0","rua","L","frente","5","5","5","pronto","22","6.2","38083","hibrida_calibrada"
"24","NOVO-01","1202","Centro-Sul","T1","12","127","4","2","2","13.3","0","rua","S","frente","5","5","5","pronto","14","6.7","31477","hibrida_calibrada"
"25","NOVO-01","1301","Centro-Sul","T1","13","148","4","2","2","11","0","rua","S","frente","5","5","5","pronto","9","5.6","35842","hibrida_calibrada"
"26","NOVO-01","1302","Centro-Sul","T1","13","51","1","1","0","5.6","0","rua","O","frente","5","5","5","pronto","27","7.6","41954","hibrida_calibrada"
"27","NOVO-01","1401","Centro-Sul","T1","14","180","4","3","2","15.3","0","parque","O","frente","5","5","5","pronto","19","3.4","39247","hibrida_calibrada"
"28","NOVO-01","1402","Centro-Sul","T1","14","40","1","0","0","3.8","0","parque","N","frente","5","5","5","pronto","17","1.6","58170","hibrida_calibrada"
"29","NOVO-01","1501","Centro-Sul","T1","15","60","2","1","0","5.3","0","parque","N","frente","5","5","5","pronto","9","6.1","37112","hibrida_calibrada"
"30","NOVO-01","1502","Centro-Sul","T1","15","105","3","2","2","5.3","0","parque","L","frente","5","5","5","pronto","9","4","43189","hibrida_calibrada"
"31","NOVO-01","1601","Centro-Sul","T1","16","138","4","2","2","14.4","0","parque","L","frente","5","5","5","pronto","19","5.2","51666","hibrida_calibrada"
"32","NOVO-01","1602","Centro-Sul","T1","16","127","4","2","2","6.9","0","parque","S","frente","5","5","5","pronto","18","3.8","41943","hibrida_calibrada"
"33","NOVO-01","1701","Centro-Sul","T1","17","121","3","2","2","10.5","0","rua","S","frente","5","5","5","pronto","18","3.3","41560","hibrida_calibrada"
"34","NOVO-01","1702","Centro-Sul","T1","17","130","4","2","2","13.1","0","rua","O","frente","5","5","5","pronto","20","7","35285","hibrida_calibrada"
"35","NOVO-01","1801","Centro-Sul","T1","18","63","2","1","0","7.4","0","parque","O","frente","5","5","5","pronto","22","6.6","41899","hibrida_calibrada"
"36","NOVO-01","1802","Centro-Sul","T1","18","137","4","2","2","14.7","0","rua","N","frente","5","5","5","pronto","13","4.7","42933","hibrida_calibrada"
"37","NOVO-01","1901","Centro-Sul","T1","19","56","2","1","0","6.1","0","parque","N","frente","5","5","5","pronto","15","6","43009","hibrida_calibrada"
"38","NOVO-01","1902","Centro-Sul","T1","19","134","4","2","2","17.3","0","parque","L","frente","5","5","5","pronto","1","6.5","35029","hibrida_calibrada"
"39","NOVO-01","2001","Centro-Sul","T1","20","133","4","2","2","15.4","0","parque","L","frente","5","5","5","pronto","2","5.2","36448","hibrida_calibrada"
"40","NOVO-01","2002","Centro-Sul","T1","20","126","4","2","2","15","0","parque","S","frente","5","5","5","pronto","26","4.6","44792","hibrida_calibrada"
"41","NOVO-01","2101","Centro-Sul","T1","21","147","4","2","2","10.1","0","rua","S","frente","5","5","5","pronto","15","4.1","37726","hibrida_calibrada"
"42","NOVO-01","2102","Centro-Sul","T1","21","109","3","2","2","8.9","0","rua","O","frente","5","5","5","pronto","19","4.5","40143","hibrida_calibrada"
"43","NOVO-01","2201","Centro-Sul","T1","22","44","1","1","0","7.3","1","parque","O","frente","5","5","5","pronto","28","6.2","53935","hibrida_calibrada"
"44","NOVO-01","2202","Centro-Sul","T1","22","163","4","3","2","16.3","0","parque","N","frente","5","5","5","pronto","8","4.2","58993","hibrida_calibrada"
"45","NOVO-02","0101","Centro-Sul","T2","1","143","4","2","2","10.6","0","rua","O","frente","5","4","5","acabamento","6","2.3","29273","hibrida_calibrada"
"46","NOVO-02","0102","Centro-Sul","T2","1","124","3","2","2","9","0","rua","N","frente","5","4","5","acabamento","15","3.8","34815","hibrida_calibrada"
"47","NOVO-02","0201","Centro-Sul","T2","2","128","4","2","2","13.1","0","parque","N","frente","5","4","5","acabamento","3","1.9","35714","hibrida_calibrada"
"48","NOVO-02","0202","Centro-Sul","T2","2","142","4","2","2","15.5","0","parque","L","frente","5","4","5","acabamento","16","2.8","33919","hibrida_calibrada"
"49","NOVO-02","0301","Centro-Sul","T2","3","139","4","2","2","17.4","0","parque","L","frente","5","4","5","acabamento","12","2.2","38385","hibrida_calibrada"
"50","NOVO-02","0302","Centro-Sul","T2","3","130","4","2","2","9.8","0","parque","S","frente","5","4","5","acabamento","23","4.8","37707","hibrida_calibrada"
"51","NOVO-02","0401","Centro-Sul","T2","4","56","2","1","0","3.1","0","parque","S","frente","5","4","5","acabamento","11","4.8","40754","hibrida_calibrada"
"52","NOVO-02","0402","Centro-Sul","T2","4","124","3","2","2","13.3","0","rua","O","frente","5","4","5","acabamento","23","8.1","36983","hibrida_calibrada"
"53","NOVO-02","0501","Centro-Sul","T2","5","164","4","3","2","13.4","0","rua","O","frente","5","4","5","acabamento","8","2","29057","hibrida_calibrada"
"54","NOVO-02","0502","Centro-Sul","T2","5","161","4","3","2","15.2","0","rua","N","frente","5","4","5","acabamento","10","4.3","29866","hibrida_calibrada"
"55","NOVO-02","0601","Centro-Sul","T2","6","136","4","2","2","12.5","0","parque","N","frente","5","4","5","acabamento","18","6.6","30116","hibrida_calibrada"
"56","NOVO-02","0602","Centro-Sul","T2","6","121","3","2","2","7.9","0","parque","L","frente","5","4","5","acabamento","22","3.3","34382","hibrida_calibrada"
"57","NOVO-02","0701","Centro-Sul","T2","7","129","4","2","2","11.5","0","rua","L","frente","5","4","5","acabamento","22","4.5","35598","hibrida_calibrada"
"58","NOVO-02","0702","Centro-Sul","T2","7","45","1","1","0","7.5","0","parque","S","frente","5","4","5","acabamento","8","3.6","39440","hibrida_calibrada"
"59","NOVO-02","0801","Centro-Sul","T2","8","151","4","2","2","11.5","0","rua","S","frente","5","4","5","acabamento","1","4.9","41535","hibrida_calibrada"
"60","NOVO-02","0802","Centro-Sul","T2","8","49","1","0","0","4","0","parque","O","frente","5","4","5","acabamento","1","2.5","34904","hibrida_calibrada"
"61","NOVO-02","0901","Centro-Sul","T2","9","130","4","2","2","13.5","0","parque","O","frente","5","4","5","acabamento","19","4.3","41683","hibrida_calibrada"
"62","NOVO-02","0902","Centro-Sul","T2","9","115","3","2","2","11","0","parque","N","frente","5","4","5","acabamento","14","7","38906","hibrida_calibrada"
"63","NOVO-02","1001","Centro-Sul","T2","10","57","2","1","0","6.5","0","rua","N","frente","5","4","5","acabamento","6","6.4","40813","hibrida_calibrada"
"64","NOVO-02","1002","Centro-Sul","T2","10","118","3","2","2","13.7","0","parque","L","frente","5","4","5","acabamento","13","3.9","36888","hibrida_calibrada"
"65","NOVO-02","1101","Centro-Sul","T2","11","60","2","1","0","7.4","0","parque","L","frente","5","4","5","acabamento","2","1.8","42998","hibrida_calibrada"
"66","NOVO-02","1102","Centro-Sul","T2","11","53","1","0","0","3.8","0","rua","S","frente","5","4","5","acabamento","2","6.2","34313","hibrida_calibrada"
"67","NOVO-02","1201","Centro-Sul","T2","12","61","2","1","0","11.3","0","parque","S","frente","5","4","5","acabamento","26","3.9","31703","hibrida_calibrada"
"68","NOVO-02","1202","Centro-Sul","T2","12","122","3","2","2","10.8","0","parque","O","frente","5","4","5","acabamento","19","4","29601","hibrida_calibrada"
"69","NOVO-02","1301","Centro-Sul","T2","13","144","4","2","2","10.7","0","rua","O","frente","5","4","5","acabamento","25","3.5","32905","hibrida_calibrada"
"70","NOVO-02","1302","Centro-Sul","T2","13","120","3","2","2","9.9","0","rua","N","frente","5","4","5","acabamento","9","1.7","39944","hibrida_calibrada"
"71","NOVO-02","1401","Centro-Sul","T2","14","51","1","0","0","6.3","0","rua","N","frente","5","4","5","acabamento","12","6.5","41037","hibrida_calibrada"
"72","NOVO-02","1402","Centro-Sul","T2","14","68","2","1","1","1.2","0","rua","L","frente","5","4","5","acabamento","29","5.2","30378","hibrida_calibrada"
"73","NOVO-02","1501","Centro-Sul","T2","15","146","4","2","2","17.2","0","rua","L","frente","5","4","5","acabamento","25","3.8","33706","hibrida_calibrada"
"74","NOVO-02","1502","Centro-Sul","T2","15","35","1","1","0","2.3","0","parque","S","frente","5","4","5","acabamento","4","5.1","41410","hibrida_calibrada"
"75","NOVO-02","1601","Centro-Sul","T2","16","62","2","1","0","10.1","0","rua","S","frente","5","4","5","acabamento","7","4.9","37764","hibrida_calibrada"
"76","NOVO-02","1602","Centro-Sul","T2","16","126","4","2","2","9.8","0","parque","O","frente","5","4","5","acabamento","29","6.1","41113","hibrida_calibrada"
"77","NOVO-02","1701","Centro-Sul","T2","17","143","4","2","2","11.4","0","rua","O","frente","5","4","5","acabamento","25","4.5","36800","hibrida_calibrada"
"78","NOVO-02","1702","Centro-Sul","T2","17","164","4","3","2","16.6","0","rua","N","frente","5","4","5","acabamento","4","5.9","33874","hibrida_calibrada"
"79","NOVO-02","1801","Centro-Sul","T2","18","70","2","1","1","4.7","1","rua","N","frente","5","4","5","acabamento","13","2.2","40521","hibrida_calibrada"
"80","NOVO-02","1802","Centro-Sul","T2","18","126","4","2","2","9.9","0","parque","L","frente","5","4","5","acabamento","2","7","41809","hibrida_calibrada"
"81","NOVO-03","0101","Pampulha","T1","1","65","2","1","0","6.2","0","rua","N","frente","4","5","4","construcao","19","4.3","21981","hibrida_calibrada"
"82","NOVO-03","0102","Pampulha","T1","1","130","4","2","2","13.8","0","rua","L","frente","4","5","4","construcao","10","3.2","19113","hibrida_calibrada"
"83","NOVO-03","0103","Pampulha","T1","1","105","3","2","2","8.9","0","rua","S","lateral","4","5","4","construcao","18","3.3","21070","hibrida_calibrada"
"84","NOVO-03","0104","Pampulha","T1","1","41","1","1","0","5","0","rua","O","fundos","4","5","4","construcao","7","5.4","16394","hibrida_calibrada"
"85","NOVO-03","0201","Pampulha","T1","2","59","2","1","0","3.6","0","rua","L","frente","4","5","4","construcao","27","3.4","22442","hibrida_calibrada"
"86","NOVO-03","0202","Pampulha","T1","2","117","3","2","2","10.7","0","rua","S","frente","4","5","4","construcao","29","7.1","19705","hibrida_calibrada"
"87","NOVO-03","0203","Pampulha","T1","2","117","3","2","2","8.5","0","rua","O","lateral","4","5","4","construcao","28","6.9","24068","hibrida_calibrada"
"88","NOVO-03","0204","Pampulha","T1","2","98","3","1","1","12.6","0","rua","N","fundos","4","5","4","construcao","24","6.4","21753","hibrida_calibrada"
"89","NOVO-03","0301","Pampulha","T1","3","63","2","1","0","0","0","rua","S","frente","4","5","4","construcao","30","3.7","22917","hibrida_calibrada"
"90","NOVO-03","0302","Pampulha","T1","3","46","1","0","0","3.1","0","mar","O","frente","4","5","4","construcao","3","3.7","24488","hibrida_calibrada"
"91","NOVO-03","0303","Pampulha","T1","3","118","3","2","2","10.2","0","mar","N","lateral","4","5","4","construcao","22","2.8","23270","hibrida_calibrada"
"92","NOVO-03","0304","Pampulha","T1","3","126","4","2","2","11.7","0","parque","L","fundos","4","5","4","construcao","15","1.8","22877","hibrida_calibrada"
"93","NOVO-03","0401","Pampulha","T1","4","135","4","2","2","12.9","0","rua","O","frente","4","5","4","construcao","25","4.1","23891","hibrida_calibrada"
"94","NOVO-03","0402","Pampulha","T1","4","89","3","1","1","0","0","mar","N","frente","4","5","4","construcao","16","5","26025","hibrida_calibrada"
"95","NOVO-03","0403","Pampulha","T1","4","66","2","1","0","7.5","0","rua","L","lateral","4","5","4","construcao","15","4","24931","hibrida_calibrada"
"96","NOVO-03","0404","Pampulha","T1","4","122","3","2","2","14.5","0","rua","S","fundos","4","5","4","construcao","14","5.3","22999","hibrida_calibrada"
"97","NOVO-03","0501","Pampulha","T1","5","50","1","0","0","9.7","0","rua","N","frente","4","5","4","construcao","21","3.7","24432","hibrida_calibrada"
"98","NOVO-03","0502","Pampulha","T1","5","118","3","2","2","9.1","0","mar","L","frente","4","5","4","construcao","29","2.9","25364","hibrida_calibrada"
"99","NOVO-03","0503","Pampulha","T1","5","138","4","2","2","13","0","rua","S","lateral","4","5","4","construcao","27","7.9","25611","hibrida_calibrada"
"100","NOVO-03","0504","Pampulha","T1","5","132","4","2","2","11.9","0","parque","O","fundos","4","5","4","construcao","12","6.8","22252","hibrida_calibrada"
"101","NOVO-03","0601","Pampulha","T1","6","45","1","1","0","3.3","0","mar","L","frente","4","5","4","construcao","12","6.9","23937","hibrida_calibrada"
"102","NOVO-03","0602","Pampulha","T1","6","136","4","2","2","12.5","0","rua","S","frente","4","5","4","construcao","28","2.7","27296","hibrida_calibrada"
"103","NOVO-03","0603","Pampulha","T1","6","97","3","1","1","9.7","0","parque","O","lateral","4","5","4","construcao","7","1.6","23706","hibrida_calibrada"
"104","NOVO-03","0604","Pampulha","T1","6","52","1","1","0","2.8","0","rua","N","fundos","4","5","4","construcao","27","3.2","18573","hibrida_calibrada"
"105","NOVO-03","0701","Pampulha","T1","7","72","2","1","1","5.8","0","rua","S","frente","4","5","4","construcao","0","2.1","16627","hibrida_calibrada"
"106","NOVO-03","0702","Pampulha","T1","7","115","3","2","2","8.4","0","rua","O","frente","4","5","4","construcao","5","3.5","18416","hibrida_calibrada"
"107","NOVO-03","0703","Pampulha","T1","7","46","1","0","0","4.1","0","parque","N","lateral","4","5","4","construcao","11","4","23190","hibrida_calibrada"
"108","NOVO-03","0704","Pampulha","T1","7","44","1","1","0","0.7","0","rua","L","fundos","4","5","4","construcao","13","1.9","22858","hibrida_calibrada"
"109","NOVO-03","0801","Pampulha","T1","8","128","4","2","2","11","0","mar","O","frente","4","5","4","construcao","6","3.7","21174","hibrida_calibrada"
"110","NOVO-03","0802","Pampulha","T1","8","129","4","2","2","6.2","0","rua","N","frente","4","5","4","construcao","8","4.5","22988","hibrida_calibrada"
"111","NOVO-03","0803","Pampulha","T1","8","35","1","0","0","0","0","rua","L","lateral","4","5","4","construcao","30","6.6","29995","hibrida_calibrada"
"112","NOVO-03","0804","Pampulha","T1","8","112","3","2","2","17.7","0","rua","S","fundos","4","5","4","construcao","11","4.8","19559","hibrida_calibrada"
"113","NOVO-03","0901","Pampulha","T1","9","65","2","1","0","6.2","0","mar","N","frente","4","5","4","construcao","1","5.5","19733","hibrida_calibrada"
"114","NOVO-03","0902","Pampulha","T1","9","102","3","1","1","3.8","0","rua","L","frente","4","5","4","construcao","1","3.1","17308","hibrida_calibrada"
"115","NOVO-03","0903","Pampulha","T1","9","40","1","0","0","9.4","0","rua","S","lateral","4","5","4","construcao","15","2.1","19205","hibrida_calibrada"
"116","NOVO-03","0904","Pampulha","T1","9","57","2","1","0","2.1","0","rua","O","fundos","4","5","4","construcao","16","3.9","20286","hibrida_calibrada"
"117","NOVO-03","1001","Pampulha","T1","10","63","2","1","0","7.2","0","rua","L","frente","4","5","4","construcao","8","3.7","20598","hibrida_calibrada"
"118","NOVO-03","1002","Pampulha","T1","10","54","1","1","0","3.1","0","parque","S","frente","4","5","4","construcao","16","4.3","20757","hibrida_calibrada"
"119","NOVO-03","1003","Pampulha","T1","10","48","1","0","0","0","0","parque","O","lateral","4","5","4","construcao","1","2.3","20974","hibrida_calibrada"
"120","NOVO-03","1004","Pampulha","T1","10","103","3","1","1","10.3","0","parque","N","fundos","4","5","4","construcao","24","2.9","24235","hibrida_calibrada"
"121","NOVO-03","1101","Pampulha","T1","11","68","2","1","1","5.6","0","parque","S","frente","4","5","4","construcao","25","4.5","22461","hibrida_calibrada"
"122","NOVO-03","1102","Pampulha","T1","11","138","4","2","2","9.5","0","parque","O","frente","4","5","4","construcao","12","5.8","21754","hibrida_calibrada"
"123","NOVO-03","1103","Pampulha","T1","11","44","1","0","0","4.2","0","parque","N","lateral","4","5","4","construcao","13","1.9","24981","hibrida_calibrada"
"124","NOVO-03","1104","Pampulha","T1","11","47","1","1","0","5.9","0","mar","L","fundos","4","5","4","construcao","8","1.6","22614","hibrida_calibrada"
"125","NOVO-03","1201","Pampulha","T1","12","94","3","1","1","6.6","0","parque","O","frente","4","5","4","construcao","24","6.6","22465","hibrida_calibrada"
"126","NOVO-03","1202","Pampulha","T1","12","45","1","1","0","3.4","0","rua","N","frente","4","5","4","construcao","6","7","18641","hibrida_calibrada"
"127","NOVO-03","1203","Pampulha","T1","12","108","3","2","2","8.8","0","mar","L","lateral","4","5","4","construcao","8","6.6","26521","hibrida_calibrada"
"128","NOVO-03","1204","Pampulha","T1","12","112","3","2","2","13.8","0","rua","S","fundos","4","5","4","construcao","20","5.8","28263","hibrida_calibrada"
"129","NOVO-03","1301","Pampulha","T1","13","44","1","1","0","1.3","0","parque","N","frente","4","5","4","construcao","11","3","29668","hibrida_calibrada"
"130","NOVO-03","1302","Pampulha","T1","13","105","3","2","2","5.6","0","parque","L","frente","4","5","4","construcao","12","6.4","22104","hibrida_calibrada"
"131","NOVO-03","1303","Pampulha","T1","13","35","1","1","0","0.6","0","parque","S","lateral","4","5","4","construcao","27","8.1","34858","hibrida_calibrada"
"132","NOVO-03","1304","Pampulha","T1","13","128","4","2","2","12.7","0","rua","O","fundos","4","5","4","construcao","24","7.4","23372","hibrida_calibrada"
"133","NOVO-03","1401","Pampulha","T1","14","130","4","2","2","9.7","0","mar","L","frente","4","5","4","construcao","2","7","22507","hibrida_calibrada"
"134","NOVO-03","1402","Pampulha","T1","14","75","2","1","1","5.9","0","rua","S","frente","4","5","4","construcao","2","4.5","22216","hibrida_calibrada"
"135","NOVO-03","1403","Pampulha","T1","14","46","1","1","0","1.6","0","rua","O","lateral","4","5","4","construcao","1","5.2","23205","hibrida_calibrada"
"136","NOVO-03","1404","Pampulha","T1","14","111","3","2","2","10.8","0","mar","N","fundos","4","5","4","construcao","22","4.5","26402","hibrida_calibrada"
"137","NOVO-03","1501","Pampulha","T1","15","118","3","2","2","14.3","0","mar","S","frente","4","5","4","construcao","8","5.3","26748","hibrida_calibrada"
"138","NOVO-03","1502","Pampulha","T1","15","68","2","1","1","2.6","0","mar","O","frente","4","5","4","construcao","5","6.3","23272","hibrida_calibrada"
"139","NOVO-03","1503","Pampulha","T1","15","91","3","1","1","7.1","0","parque","N","lateral","4","5","4","construcao","9","2.7","24685","hibrida_calibrada"
"140","NOVO-03","1504","Pampulha","T1","15","44","1","1","0","1.6","0","mar","L","fundos","4","5","4","construcao","2","2.6","24858","hibrida_calibrada"
"141","NOVO-03","1601","Pampulha","T1","16","139","4","2","2","13.2","1","rua","O","frente","4","5","4","construcao","7","6.6","25757","hibrida_calibrada"
"142","NOVO-03","1602","Pampulha","T1","16","38","1","0","0","0","1","rua","N","frente","4","5","4","construcao","6","1.9","24320","hibrida_calibrada"
"143","NOVO-03","1603","Pampulha","T1","16","133","4","2","2","10.4","0","rua","L","lateral","4","5","4","construcao","19","1.9","22724","hibrida_calibrada"
"144","NOVO-03","1604","Pampulha","T1","16","113","3","2","2","9.8","0","rua","S","fundos","4","5","4","construcao","14","2.7","24210","hibrida_calibrada"
"145","NOVO-04","0101","Pampulha","T2","1","100","3","1","1","8","0","rua","L","frente","3","4","4","pronto","17","2.1","14850","hibrida_calibrada"
"146","NOVO-04","0102","Pampulha","T2","1","117","3","2","2","11.4","0","rua","S","frente","3","4","4","pronto","21","7.8","13449","hibrida_calibrada"
"147","NOVO-04","0103","Pampulha","T2","1","90","3","1","1","6.6","0","rua","O","lateral","3","4","4","pronto","22","7.7","14403","hibrida_calibrada"
"148","NOVO-04","0104","Pampulha","T2","1","87","3","1","1","3.9","0","rua","N","fundos","3","4","4","pronto","8","4.8","15637","hibrida_calibrada"
"149","NOVO-04","0201","Pampulha","T2","2","108","3","2","2","9.6","0","rua","S","frente","3","4","4","pronto","14","5.6","12685","hibrida_calibrada"
"150","NOVO-04","0202","Pampulha","T2","2","126","4","2","2","12","0","rua","O","frente","3","4","4","pronto","5","6.6","15013","hibrida_calibrada"
"151","NOVO-04","0203","Pampulha","T2","2","77","2","1","1","2.8","0","rua","N","lateral","3","4","4","pronto","2","1.9","13863","hibrida_calibrada"
"152","NOVO-04","0204","Pampulha","T2","2","104","3","1","1","10.5","0","rua","L","fundos","3","4","4","pronto","23","8.1","12894","hibrida_calibrada"
"153","NOVO-04","0301","Pampulha","T2","3","94","3","1","1","11.4","0","mar","O","frente","3","4","4","pronto","23","2.8","19320","hibrida_calibrada"
"154","NOVO-04","0302","Pampulha","T2","3","100","3","1","1","9.4","0","parque","N","frente","3","4","4","pronto","14","3","14572","hibrida_calibrada"
"155","NOVO-04","0303","Pampulha","T2","3","113","3","2","2","8.8","0","mar","L","lateral","3","4","4","pronto","6","1.8","17355","hibrida_calibrada"
"156","NOVO-04","0304","Pampulha","T2","3","111","3","2","2","16.5","0","rua","S","fundos","3","4","4","pronto","13","3.2","17726","hibrida_calibrada"
"157","NOVO-04","0401","Pampulha","T2","4","106","3","2","2","9.8","0","rua","N","frente","3","4","4","pronto","6","6","17054","hibrida_calibrada"
"158","NOVO-04","0402","Pampulha","T2","4","89","3","1","1","4.5","0","rua","L","frente","3","4","4","pronto","5","2.3","14887","hibrida_calibrada"
"159","NOVO-04","0403","Pampulha","T2","4","89","3","1","1","5.8","0","rua","S","lateral","3","4","4","pronto","15","6.6","13469","hibrida_calibrada"
"160","NOVO-04","0404","Pampulha","T2","4","141","4","2","2","18.7","0","rua","O","fundos","3","4","4","pronto","10","2.3","13038","hibrida_calibrada"
"161","NOVO-04","0501","Pampulha","T2","5","99","3","1","1","11.1","0","rua","L","frente","3","4","4","pronto","7","5","14602","hibrida_calibrada"
"162","NOVO-04","0502","Pampulha","T2","5","105","3","2","2","5.9","0","rua","S","frente","3","4","4","pronto","18","6.3","19352","hibrida_calibrada"
"163","NOVO-04","0503","Pampulha","T2","5","95","3","1","1","9.1","0","rua","O","lateral","3","4","4","pronto","17","6.4","12276","hibrida_calibrada"
"164","NOVO-04","0504","Pampulha","T2","5","118","3","2","2","10.2","0","rua","N","fundos","3","4","4","pronto","7","6.8","16648","hibrida_calibrada"
"165","NOVO-04","0601","Pampulha","T2","6","116","3","2","2","12.2","0","parque","S","frente","3","4","4","pronto","2","3.8","14026","hibrida_calibrada"
"166","NOVO-04","0602","Pampulha","T2","6","93","3","1","1","3.7","0","rua","O","frente","3","4","4","pronto","4","3.4","14616","hibrida_calibrada"
"167","NOVO-04","0603","Pampulha","T2","6","80","2","1","1","0.7","0","parque","N","lateral","3","4","4","pronto","15","1.7","15968","hibrida_calibrada"
"168","NOVO-04","0604","Pampulha","T2","6","134","4","2","2","11.2","0","rua","L","fundos","3","4","4","pronto","21","5.3","18058","hibrida_calibrada"
"169","NOVO-04","0701","Pampulha","T2","7","107","3","2","2","8.4","0","parque","O","frente","3","4","4","pronto","6","3.5","15835","hibrida_calibrada"
"170","NOVO-04","0702","Pampulha","T2","7","86","3","1","1","7.4","0","rua","N","frente","3","4","4","pronto","17","5.5","18105","hibrida_calibrada"
"171","NOVO-04","0703","Pampulha","T2","7","103","3","1","1","10.7","0","rua","L","lateral","3","4","4","pronto","20","2.3","14398","hibrida_calibrada"
"172","NOVO-04","0704","Pampulha","T2","7","97","3","1","1","10","0","rua","S","fundos","3","4","4","pronto","12","1.9","17205","hibrida_calibrada"
"173","NOVO-04","0801","Pampulha","T2","8","123","3","2","2","10.1","0","rua","N","frente","3","4","4","pronto","6","5.7","15143","hibrida_calibrada"
"174","NOVO-04","0802","Pampulha","T2","8","86","3","1","1","12.7","0","mar","L","frente","3","4","4","pronto","21","2.9","21624","hibrida_calibrada"
"175","NOVO-04","0803","Pampulha","T2","8","77","2","1","1","9.6","0","rua","S","lateral","3","4","4","pronto","10","4.5","13357","hibrida_calibrada"
"176","NOVO-04","0804","Pampulha","T2","8","102","3","1","1","7.8","0","mar","O","fundos","3","4","4","pronto","25","5.9","20808","hibrida_calibrada"
"177","NOVO-04","0901","Pampulha","T2","9","124","3","2","2","11.3","0","parque","L","frente","3","4","4","pronto","30","7.6","18264","hibrida_calibrada"
"178","NOVO-04","0902","Pampulha","T2","9","107","3","2","2","11.9","0","rua","S","frente","3","4","4","pronto","16","5.7","18698","hibrida_calibrada"
"179","NOVO-04","0903","Pampulha","T2","9","87","3","1","1","0","0","rua","O","lateral","3","4","4","pronto","14","5.9","15065","hibrida_calibrada"
